Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
03-30-2023 13:39,CSGO,TWITTER,N/A ,0,0,Photo
03-30-2023 13:39,CSGO,TWITTER,N/A ,0,0,Photo
03-30-2023 13:33,General ,TWITTER,Community Engagement ,29434,138,Text
03-30-2023 13:11,General ,TWITTER,N/A ,0,0,Link
03-30-2023 13:11,DOTA2,TWITTER,Community Engagement ,4588,84,Photo
03-30-2023 13:11,General ,FBPAGE,Community Engagement ,12104,1627,Photo
03-30-2023 13:08,Content Creators,YOUTUBE,N/A ,1728,35,Video
03-30-2023 13:08,General ,TWITTER,Community Engagement ,9262,119,Video
03-30-2023 13:05,Content Creators,YOUTUBE,N/A ,8,0,Video
03-30-2023 13:00,General ,FBPAGE,Community Engagement ,9903,445,Video
03-30-2023 12:00,General ,TWITTER,Evil Exhibited ,778,15,Text
03-30-2023 11:03,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 11:03,General ,INSTAGRAM,Evil Exhibited ,7028,100,Video
03-30-2023 11:00,DOTA2,TWITTER,N/A ,1451,47,Text
03-30-2023 11:00,DOTA2,TWITTER,N/A ,0,0,Video
03-30-2023 11:00,General ,FBPAGE,Evil Exhibited ,9273,306,Video
03-30-2023 11:00,General ,TWITTER,Evil Exhibited ,52669,2713,Video
03-30-2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
03-30-2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
03-30-2023 10:54,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
03-30-2023 10:50,Valorant,YOUTUBE,Evil Exhibited ,356,18,Video
03-30-2023 10:39,General ,YOUTUBE,N/A ,0,0,Text
03-30-2023 10:38,General ,YOUTUBE,N/A ,0,0,Text
03-30-2023 10:18,Valorant,YOUTUBE,Evil Exhibited ,0,0,Link
03-30-2023 10:07,General ,INSTAGRAM,Evergreen ,12500,185,Video
03-30-2023 10:06,Valorant,YOUTUBE,Evil Exhibited ,12320,463,Video
03-30-2023 10:00,General ,TIKTOK_BUSINESS,Evergreen ,1055,144,Video
03-30-2023 09:42,DOTA2,TWITTER,N/A ,157,1,Text
03-30-2023 09:40,DOTA2,TWITTER,N/A ,679,45,Photo
03-30-2023 09:10,General ,TWITTER,Community Engagement ,497,2,Text
03-30-2023 09:00,General ,INSTAGRAM,Community Engagement ,23121,2144,Carousel
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,INSTAGRAM,N/A ,0,0,Text
03-30-2023 09:00,General ,TWITTER,Community Engagement ,10447,208,Photo
03-30-2023 09:00,General ,FBPAGE,Community Engagement ,59132,5038,Photo
03-30-2023 09:00,General ,FBPAGE,Community Engagement ,29566,2519,Photo
03-30-2023 09:00,General ,FBPAGE,Community Engagement ,29566,2519,Photo
03-30-2023 08:30,General ,FBPAGE,Community Engagement ,20930,5369,Photo
03-30-2023 08:30,General ,FBPAGE,Community Engagement ,20930,5369,Photo
03-30-2023 08:30,General ,FBPAGE,Community Engagement ,41860,10736,Photo
03-30-2023 08:30,DOTA2,TWITTER,Community Engagement ,6655,307,Photo
03-29-2023 16:27,General ,TIKTOK_BUSINESS,N/A ,415,45,Video
03-29-2023 15:48,General ,TWITTER,N/A ,0,0,Link
03-29-2023 15:30,General ,INSTAGRAM,Evergreen ,41667,1516,Video
03-29-2023 15:30,General ,TIKTOK_BUSINESS,Evergreen ,119,4,Video
03-29-2023 14:48,General ,TWITTER,Evil Exhibited ,976,16,Text
03-29-2023 14:37,General ,YOUTUBE,N/A ,2261,24,Video
03-29-2023 14:34,General ,YOUTUBE,N/A ,2402,36,Video
03-29-2023 14:19,General ,TWITTER,Evil Exhibited ,171,11,Text
03-29-2023 13:58,General ,YOUTUBE,N/A ,2709,89,Video
03-29-2023 13:25,General ,TWITTER,Evil Exhibited ,2088,55,Video
03-29-2023 13:24,General ,TWITTER,Evil Exhibited ,2402,58,Video
03-29-2023 13:10,General ,TWITTER,Evil Exhibited ,1651,18,Text
03-29-2023 13:07,General ,YOUTUBE,N/A ,0,0,Video
03-29-2023 13:06,General ,TWITTER,Evil Exhibited ,506,28,Text
03-29-2023 13:06,General ,TWITTER,Evil Exhibited ,428,9,Text
03-29-2023 13:00,DOTA2,TWITTER,Evil Exhibited ,1146,79,Video
03-29-2023 13:00,General ,TWITTER,Evil Exhibited ,17964,606,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,N/A ,0,0,Text
03-29-2023 13:00,General ,INSTAGRAM,Evil Exhibited ,9463,195,Video
03-29-2023 13:00,General ,TWITTER,Evil Exhibited ,172409,8900,Video
03-29-2023 13:00,General ,FBPAGE,Evil Exhibited ,10279,819,Video
03-29-2023 13:00,General ,FBPAGE,Evil Exhibited ,10633,516,Video
03-29-2023 12:49,General ,INSTAGRAM,Evergreen ,186,6,Video
03-29-2023 12:49,General ,TIKTOK_BUSINESS,Evergreen ,101,8,Video
03-29-2023 12:38,General ,TWITTER,Community Engagement ,26091,32,Link
03-29-2023 12:26,General ,INSTAGRAM,N/A ,0,0,Photo
03-29-2023 12:26,General ,INSTAGRAM,Community Engagement ,3999,0,Photo
